Symbol,Ebitda,Revenuegrowth,Fulltimeemployees,Weight,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Score
AAPL,130633998336.0,0.086,154000.0,0.0785396381863145,0.6,9.2,6.9,3.0
MSFT,94982995968.0,0.184,181000.0,0.0597210796231298,1.5,5.3,8.4,3.0
TSLA,12702000128.0,0.805,99290.0,0.0246268446116747,2.8,9.6,16.2,3.0
UNH,26390999040.0,0.142,350000.0,0.0158101294097299,0.0,5.9,11.6,3.0
JNJ,32411000832.0,0.05,144000.0,0.01443813448814,0.7,8.6,15.8,4.0
NVDA,11214999552.0,0.528,22473.0,0.0130099641656531,2.3,6.0,5.2,2.0
PG,21462999040.0,0.07,101000.0,0.0110244984785596,9.5,7.5,9.6,3.0
JPM,,-0.197,273948.0,0.0108460264671854,1.1,11.7,16.2,3.0
WMT,36600000512.0,0.005,2300000.0,0.0106844639861382,4.4,6.3,13.9,4.0
MA,11809999872.0,0.244,24000.0,0.0105887567894912,0.3,8.6,8.1,4.0
LLY,10721399808.0,0.148,35000.0,0.0100153300102598,3.4,11.6,17.4,2.0
HD,26164000768.0,0.107,490600.0,0.0098323020900598,3.4,3.6,5.5,2.0
PFE,31949000704.0,1.068,79000.0,0.0092696447632604,2.8,9.7,12.9,3.0
CVX,38513999872.0,0.683,42595.0,0.0089675816962711,18.6,10.3,8.7,3.0
KO,13320999936.0,0.163,79000.0,0.0086215949291461,7.9,4.9,9.7,3.0
BAC,,-0.06,208000.0,0.0085411768782654,1.6,11.2,14.4,3.0
ABBV,28628000768.0,0.041,50000.0,0.0084186578011977,1.1,9.9,16.8,3.0
PEP,14588999680.0,0.093,309000.0,0.0075021828832912,4.9,4.5,6.6,3.0
MRK,21568749568.0,0.496,67000.0,0.0072815301716486,0.8,9.6,11.5,3.0
COST,9905000448.0,0.159,288000.0,0.0071682641526491,7.3,5.7,11.2,3.0
TMO,12812000256.0,0.193,130000.0,0.0071332060048228,1.5,6.5,5.6,3.0
AVGO,15685000192.0,0.158,20000.0,0.0066633296629603,8.8,6.7,6.9,3.0
ORCL,18399000576.0,0.042,132000.0,0.0062426443057846,0.5,5.7,7.7,2.0
DHR,10492000256.0,0.121,78000.0,0.0062390807014248,1.4,5.2,5.2,2.0
CMCSA,35337998336.0,0.14,189000.0,0.0061634120535672,4.6,8.1,12.1,2.0
MCD,11785624576.0,0.106,100000.0,0.0060663100431348,4.2,6.3,14.3,3.0
ABT,13832999936.0,0.101,113000.0,0.006031601116119,3.0,8.4,13.6,3.0
VZ,45108998144.0,0.021,118500.0,0.0059543415734579,3.9,5.7,8.9,3.0
CSCO,15989999616.0,0.064,79500.0,0.0058373308726413,0.0,6.4,5.6,2.0
DIS,10560000000.0,0.343,152000.0,0.005727070739433,0.1,6.9,7.9,2.0
ACN,10042649600.0,0.218,710000.0,0.0057008233033149,0.3,4.8,4.6,2.0
ADBE,6662000128.0,0.144,25988.0,0.0056047896498806,1.9,4.6,5.9,1.0
WFC,,-0.061,246577.0,0.0054013832726358,1.9,15.5,15.4,5.0
QCOM,14483999744.0,0.407,45000.0,0.0053039429060403,4.8,7.7,4.1,4.0
CRM,3064000000.0,0.259,73541.0,0.0053019438109117,2.3,4.5,6.4,2.0
TMUS,26454999040.0,0.018,75000.0,0.0052816455453122,5.0,7.7,13.4,3.0
NKE,7975000064.0,0.05,73300.0,0.0052580371837933,3.0,6.9,7.0,3.0
BMY,21133250560.0,0.052,32200.0,0.0051607608216377,0.3,7.6,14.9,2.0
INTC,31547000832.0,-0.067,122900.0,0.0050034495219239,4.4,7.0,5.9,3.0
UPS,16476999680.0,0.064,534000.0,0.004982135670471,4.6,5.4,9.6,2.0
NEE,6024999936.0,-0.224,15000.0,0.0049511667689947,14.1,5.8,7.6,2.0
PM,13953999872.0,0.021,69600.0,0.0047454772636954,3.6,9.5,10.7,3.0
TXN,10638000128.0,0.144,31000.0,0.0046905047344791,8.8,6.0,5.1,2.0
LIN,10368000000.0,0.134,72327.0,0.0046389892326048,,,,
MS,,-0.058,76541.0,0.0045777881562214,0.7,9.7,11.8,3.0
AMGN,12892000256.0,0.057,24200.0,0.004466895804005,0.7,7.9,13.5,3.0
UNP,11975999488.0,0.172,30189.0,0.004384267573417,9.4,3.7,12.1,2.0
RTX,11349999616.0,0.03,174000.0,0.004265141629217,,,,
T,54456000512.0,-0.133,203160.0,0.0041265444260333,2.3,6.7,13.1,3.0
LOW,14136999936.0,0.051,200000.0,0.0040124992566032,3.7,3.2,4.6,2.0
CVS,18289000448.0,,216000.0,0.0039729082226565,0.0,6.4,16.4,3.0
HON,8447000064.0,-0.009,99000.0,0.0039438183878229,10.6,8.5,10.2,3.0
MDT,9608999936.0,-0.002,90000.0,0.0039018637756941,2.4,7.6,12.6,3.0
COP,20018999296.0,1.771,9900.0,0.0037938086485516,17.3,7.9,9.7,2.0
AMT,6052599808.0,0.232,6378.0,0.0037243375060112,2.4,5.0,3.6,1.0
INTU,3129999872.0,0.696,13500.0,0.003703822206145,1.0,4.7,10.5,2.0
AXP,,0.208,64000.0,0.0036646122109048,0.1,9.9,8.4,2.0
SCHW,,-0.009,34200.0,0.0036518633231824,2.1,11.8,10.1,2.0
IBM,12120000512.0,0.077,282100.0,0.0036251068007272,0.5,7.6,6.7,2.0
LMT,8743000064.0,-0.08,114000.0,0.0034556615005994,5.3,7.2,15.9,3.0
GS,,-0.304,45100.0,0.0033554547878206,1.3,12.2,12.7,3.0
AMD,4055000064.0,0.488,15500.0,0.0032508541011992,,,,
C,,-0.091,228000.0,0.0032206260652054,1.8,11.8,13.1,4.0
DE,8246000128.0,0.05,75550.0,0.0031009380048416,3.2,6.6,6.9,2.0
CAT,10552999936.0,0.143,107700.0,0.0030956880519902,7.2,8.5,18.5,4.0
NFLX,6453552128.0,0.098,11300.0,0.0029920178448173,0.1,9.3,6.8,2.0
BLK,8122749952.0,0.068,18400.0,0.0029883329185612,1.5,9.5,9.6,2.0
PLD,3677421056.0,0.066,2053.0,0.0029787192576709,2.5,4.3,1.7,1.0
BA,52000000.0,-0.081,142000.0,0.0028935644791893,7.1,7.9,19.7,4.0
CI,10152999936.0,0.093,72226.0,0.0028762705472886,0.0,5.7,6.0,2.0
ADP,4220600064.0,0.1,56000.0,0.0028745303929239,1.1,5.9,7.0,1.0
EL,4248999936.0,0.141,44640.0,0.0028622344575268,6.9,7.7,11.3,2.0
PYPL,4888999936.0,0.075,30900.0,0.0028582794671772,0.7,5.4,9.9,2.0
AMAT,8163999744.0,0.215,28500.0,0.0027751113670843,3.8,5.1,2.6,1.0
MDLZ,6096999936.0,0.073,79000.0,0.0027724772074447,9.5,5.2,9.1,3.0
CHTR,20758999040.0,0.054,93700.0,0.0027119362877343,6.0,8.0,13.0,2.0
SPGI,4710000128.0,0.118,22850.0,0.0027101280999821,0.0,8.1,6.2,1.0
ADI,3448051968.0,0.722,24700.0,0.0026837019145454,10.1,5.9,7.7,0.0
